Beverage,Beverage_category,Beverage_prep,Milk_type,Calories,Total Fat (g),Trans Fat (g) ,Saturated Fat (g),Sodium (mg),Total Carbohydrates (g) ,Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV),Calcium (% DV) ,Iron (% DV) ,Caffeine (mg)
Hot Chocolate (Without Whipped Cream),Signature Espresso Drinks,Short,Nonfat Milk,130,1.5,1.0,0.0,5,70,26,1,23,7.0,10%,0%,20%,10%,10
Hot Chocolate (Without Whipped Cream),Signature Espresso Drinks,Tall,Nonfat Milk,190,2.0,1.0,0.0,5,110,37,1,32,11.0,15%,0%,30%,20%,20
Hot Chocolate (Without Whipped Cream),Signature Espresso Drinks,Grande,Nonfat Milk,240,2.5,1.5,0.0,5,140,48,2,41,14.0,20%,0%,40%,25%,25
Hot Chocolate (Without Whipped Cream),Signature Espresso Drinks,Venti,Nonfat Milk,320,3.0,2.0,0.0,10,180,63,2,55,18.0,25%,0%,50%,30%,30
Caramel Apple Spice (Without Whipped Cream),Signature Espresso Drinks,Short,No Milk,140,0.0,0.0,0.0,0,10,35,0,33,0.0,0%,0%,0%,0%,0
Caramel Apple Spice (Without Whipped Cream),Signature Espresso Drinks,Tall,No Milk,210,0.0,0.0,0.0,0,15,53,0,49,0.0,0%,0%,0%,0%,0
Caramel Apple Spice (Without Whipped Cream),Signature Espresso Drinks,Grande,No Milk,280,0.0,0.0,0.0,0,20,70,0,65,0.0,0%,0%,0%,0%,0
Caramel Apple Spice (Without Whipped Cream),Signature Espresso Drinks,Venti,No Milk,360,0.0,0.0,0.0,0,25,89,0,83,0.0,0%,0%,0%,0%,0
Tazo® Tea,Tazo® Tea Drinks,Short,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies
Tazo® Tea,Tazo® Tea Drinks,Tall,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies
Tazo® Tea,Tazo® Tea Drinks,Grande,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies
Tazo® Tea,Tazo® Tea Drinks,Venti,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Short,Nonfat Milk,100,0.1,0.1,0.0,0,50,22,0,21,4.0,6%,0%,10%,0%,50
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Tall,Nonfat Milk,160,0.2,0.1,0.0,5,80,34,0,32,6.0,10%,0%,20%,2%,70
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Grande,Nonfat Milk,210,0.2,0.1,0.0,5,105,45,0,43,8.0,15%,0%,25%,2%,95
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Venti,Nonfat Milk,260,0.3,0.2,0.0,5,135,57,0,54,10.0,15%,0%,35%,2%,120
Tazo® Green Tea Latte,Tazo® Tea Drinks,Short,Nonfat Milk,130,0.2,0.1,0.0,5,85,26,0,25,7.0,10%,4%,20%,2%,25
Tazo® Green Tea Latte,Tazo® Tea Drinks,Tall,Nonfat Milk,210,0.4,0.2,0.0,5,125,42,1,41,11.0,20%,10%,35%,4%,55
Tazo® Green Tea Latte,Tazo® Tea Drinks,Grande,Nonfat Milk,290,0.5,0.2,0.0,10,160,57,1,56,14.0,25%,15%,45%,4%,80
Tazo® Green Tea Latte,Tazo® Tea Drinks,Venti,Nonfat Milk,370,0.5,0.3,0.0,10,200,73,2,71,18.0,30%,20%,60%,6%,110
Tazo® Full-Leaf Tea Latte,Tazo® Tea Drinks,Short,Nonfat Milk,80,0.1,0.1,0.0,0,45,16,0,16,4.0,6%,0%,10%,0.00%,varies
Tazo® Full-Leaf Tea Latte,Tazo® Tea Drinks,Tall,Nonfat Milk,120,0.1,0.1,0.0,5,65,23,0,23,5.0,10%,0%,20%,0.00%,varies
Tazo® Full-Leaf Tea Latte,Tazo® Tea Drinks,Grande,Nonfat Milk,150,0.2,0.1,0.0,5,85,31,0,31,7.0,15%,0%,25%,0.00%,varies
Tazo® Full-Leaf Tea Latte,Tazo® Tea Drinks,Venti,Nonfat Milk,190,0.2,0.1,0.0,5,110,39,0,39,9.0,15%,0%,30%,0.00%,varies
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tazo® Tea Drinks,Short,Nonfat Milk,80,0.1,0.1,0.0,0,45,16,0,16,4.0,6%,0%,10%,0%,0
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tazo® Tea Drinks,Tall,Nonfat Milk,120,0.1,0.1,0.0,5,65,23,0,23,5.0,10%,0%,20%,0%,0
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tazo® Tea Drinks,Grande,Nonfat Milk,150,0.2,0.1,0.0,5,85,31,0,31,7.0,15%,0%,25%,0%,0
Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tazo® Tea Drinks,Venti,Nonfat Milk,190,0.2,0.1,0.0,5,110,39,0,39,9.0,15%,0%,30%,0%,0
Iced Brewed Coffee (With Classic Syrup),Shaken Iced Beverages,Tall,No Milk,60,0.0,0.0,0.0,0,4,15,0,15,0.2,0%,0%,0%,0%,120
Iced Brewed Coffee (With Classic Syrup),Shaken Iced Beverages,Grande,No Milk,90,0.1,0.0,0.0,0,5,21,0,21,0.3,0%,0%,0%,0%,165
Iced Brewed Coffee (With Classic Syrup),Shaken Iced Beverages,Venti,No Milk,130,0.1,0.0,0.0,0,5,31,0,31,0.4,0%,0%,0%,0%,235
Iced Brewed Coffee (With Milk & Classic Syrup),Shaken Iced Beverages,Tall,Nonfat Milk,80,0.1,0.0,0.0,0,25,18,0,18,2.0,2%,0%,6%,0%,90
Iced Brewed Coffee (With Milk & Classic Syrup),Shaken Iced Beverages,Grande,Nonfat Milk,110,0.1,0.0,0.0,0,30,24,0,24,2.0,4%,0%,8%,2%,90
Iced Brewed Coffee (With Milk & Classic Syrup),Shaken Iced Beverages,Venti,Nonfat Milk,160,0.1,0.1,0.0,0,50,36,0,36,4.0,6%,0%,10%,4%,125
Shaken Iced Tazo® Tea (With Classic Syrup),Shaken Iced Beverages,Tall,No Milk,60,0.0,0.0,0.0,0,0,15,0,15,0.0,0%,0%,0%,6%,170
Shaken Iced Tazo® Tea (With Classic Syrup),Shaken Iced Beverages,Grande,No Milk,80,0.0,0.0,0.0,0,0,21,0,21,0.0,0%,0%,0%,0%,Varies
Shaken Iced Tazo® Tea (With Classic Syrup),Shaken Iced Beverages,Venti,No Milk,120,0.0,0.0,0.0,0,0,31,0,31,0.0,0%,0%,0%,0%,Varies
Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Shaken Iced Beverages,Tall,No Milk,100,0.0,0.0,0.0,0,0,25,0,24,0.1,0%,10%,0%,0%,Varies
Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Shaken Iced Beverages,Grande,No Milk,130,0.0,0.0,0.0,0,0,33,0,33,0.1,0%,15%,0%,0%,Varies
Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Shaken Iced Beverages,Venti,No Milk,190,0.0,0.0,0.0,0,0,49,0,49,0.1,0%,20%,0%,0%,Varies
Banana Chocolate Smoothie,Smoothies,Grande,Nonfat Milk,280,2.5,1.5,0.0,5,150,53,7,34,20.0,10%,15%,20%,0%,Varies
Orange Mango Banana Smoothie,Smoothies,Grande,Nonfat Milk,260,1.0,0.3,0.0,5,120,54,6,37,16.0,50%,80%,10%,30%,15
Strawberry Banana Smoothie,Smoothies,Grande,Nonfat Milk,290,1.0,0.3,0.0,5,125,58,7,41,16.0,4%,100%,10%,8%,0
Coffee,Frappuccino® Blended Coffee,Tall,Nonfat Milk,160,0.1,0.0,0.0,0,160,36,0,36,3.0,4%,0%,10%,10%,0
Coffee,Frappuccino® Blended Coffee,Grande,Nonfat Milk,220,0.1,0.1,0.0,0,210,51,0,50,4.0,6%,0%,10%,4%,70
Coffee,Frappuccino® Blended Coffee,Venti,Nonfat Milk,310,0.1,0.1,0.0,5,300,70,0,69,6.0,10%,0%,20%,6%,95
Mocha (Without Whipped Cream),Frappuccino® Blended Coffee,Tall,Nonfat Milk,180,0.5,0.4,0.0,0,150,42,1,40,3.0,4%,0%,10%,8%,130
Mocha (Without Whipped Cream),Frappuccino® Blended Coffee,Grande,Nonfat Milk,260,1.0,0.5,0.0,0,220,61,1,58,4.0,6%,0%,10%,8%,110
Mocha (Without Whipped Cream),Frappuccino® Blended Coffee,Venti,Nonfat Milk,340,1.0,0.5,0.0,5,300,80,1,76,7.0,10%,0%,15%,10%,140
Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Tall,Nonfat Milk,180,0.1,0.0,0.0,0,160,42,0,41,3.0,4%,0%,10%,0%,70
Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Grande,Nonfat Milk,280,0.1,0.1,0.0,0,220,60,0,59,4.0,6%,0%,10%,0%,100
Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Venti,Nonfat Milk,330,0.1,0.1,0.0,5,290,78,0,77,5.0,10%,0%,15%,2%,130
Java Chip (Without Whipped Cream),Frappuccino® Blended Coffee,Tall,Nonfat Milk,220,3.0,2.0,0.0,0,170,47,1,44,4.0,4%,0%,10%,20%,75
Java Chip (Without Whipped Cream),Frappuccino® Blended Coffee,Grande,Nonfat Milk,310,4.0,3.0,0.0,0,250,67,2,62,5.0,6%,0%,10%,25%,110
Java Chip (Without Whipped Cream),Frappuccino® Blended Coffee,Venti,Nonfat Milk,420,5.0,4.0,0.0,5,340,90,2,84,7.0,10%,0%,20%,35%,145
Coffee,Frappuccino® Light Blended Coffee,Tall,Nonfat Milk,90,0.1,0.0,0.0,0,160,20,0,19,3.0,4%,0%,10%,0%,70
Coffee,Frappuccino® Light Blended Coffee,Grande,Nonfat Milk,120,0.1,0.1,0.0,0,210,26,0,26,3.0,6%,0%,10%,0%,95
Coffee,Frappuccino® Light Blended Coffee,Venti,Nonfat Milk,160,0.1,0.1,0.0,5,270,34,0,33,5.0,8%,0%,15%,2%,120
Mocha,Frappuccino® Light Blended Coffee,Tall,Nonfat Milk,110,0.5,0.4,0.0,0,150,24,1,23,3.0,4%,0%,8%,6%,70
Mocha,Frappuccino® Light Blended Coffee,Grande,Nonfat Milk,150,1.0,0.5,0.0,0,200,33,1,30,4.0,6%,0%,10%,8%,95
Mocha,Frappuccino® Light Blended Coffee,Venti,Nonfat Milk,210,1.0,0.5,0.0,5,280,46,1,42,6.0,8%,0%,15%,10%,130
Caramel,Frappuccino® Light Blended Coffee,Tall,Nonfat Milk,100,0.1,0.0,0.0,0,140,23,0,23,3.0,4%,0%,8%,0%,65
Caramel,Frappuccino® Light Blended Coffee,Grande,Nonfat Milk,150,0.1,0.1,0.0,0,200,33,0,32,3.0,6%,0%,10%,0%,90
Caramel,Frappuccino® Light Blended Coffee,Venti,Nonfat Milk,200,0.1,0.1,0.0,5,270,44,0,43,5.0,8%,0%,15%,2%,120
Java Chip,Frappuccino® Light Blended Coffee,Tall,Nonfat Milk,150,3.0,2.0,0.0,0,170,30,1,27,4.0,4%,0%,10%,20%,70
Java Chip,Frappuccino® Light Blended Coffee,Grande,Nonfat Milk,220,4.0,3.0,0.0,0,240,43,2,39,5.0,6%,0%,10%,25%,105
Java Chip,Frappuccino® Light Blended Coffee,Venti,Nonfat Milk,290,5.0,4.0,0.0,5,320,58,2,52,7.0,8%,0%,15%,35%,165
Strawberries & Crème (Without Whipped Cream),Frappuccino® Blended Crème,Tall,Nonfat Milk,170,0.1,0.1,0.0,0,140,39,0,38,3.0,6%,6%,10%,2%,0
Strawberries & Crème (Without Whipped Cream),Frappuccino® Blended Crème,Grande,Nonfat Milk,230,0.2,0.1,0.0,0,190,53,0,52,4.0,8%,6%,15%,4%,0
Strawberries & Crème (Without Whipped Cream),Frappuccino® Blended Crème,Venti,Nonfat Milk,310,0.2,0.1,0.0,5,260,70,0,69,6.0,10%,8%,20%,4%,0
Vanilla Bean (Without Whipped Cream),Frappuccino® Blended Crème,Tall,Nonfat Milk,170,0.1,0.1,0.0,0,160,39,0,38,4.0,6%,0%,10%,0%,0
Vanilla Bean (Without Whipped Cream),Frappuccino® Blended Crème,Grande,Nonfat Milk,240,0.1,0.1,0.0,5,230,56,0,55,5.0,8%,0%,15%,0%,0
